box_scores,exhibition,conference,costSeason,division,season,date,away,home,home_score,away_score,notes,month,status,game_id,data-recap
https://en.usports.ca/sports/mbkb/2023-24p/boxscores/20240221_1pie.xml,0,0,1,0,2023-24p,2024-02-21,Mount Royal,Alberta,97,93,3 CW Tournament - Game 1 (Play-in) ,February 2024,Final,20240221_1pie,NA
https://en.usports.ca/sports/mbkb/2023-24p/boxscores/20240222_7tdq.xml,0,0,1,0,2023-24p,2024-02-22,Alberta,Calgary,76,70,0 CW Tournament - Game 5 Quarter-final ,February 2024,Final,20240222_7tdq,NA
https://en.usports.ca/sports/mbkb/2023-24p/boxscores/20240228_clvu.xml,0,1,1,1,2023-24p,2024-02-28,Bishop's,UQAM,74,65,5 Demi-finale RSEQ Semifinal ,February 2024,Final,20240228_clvu,NA
https://en.usports.ca/sports/mbkb/2023-24p/boxscores/20240221_smii.xml,0,0,1,0,2023-24p,2024-02-21,Saskatchewan,Brandon,62,55,5 CW Tournament - Game 2 (Play-in) ,February 2024,Final,20240221_smii,NA
https://en.usports.ca/sports/mbkb/2023-24p/boxscores/20240222_f890.xml,0,0,1,0,2023-24p,2024-02-22,Brandon,Victoria,98,85,5 CW Tournament - Game 6 Quarter-final ,February 2024,Final,20240222_f890,NA
https://en.usports.ca/sports/mbkb/2023-24p/boxscores/20240221_xnod.xml,0,0,1,0,2023-24p,2024-02-21,Brock,Carleton,69,70,9 OUA Round 1 ,February 2024,Final,20240221_xnod,NA
https://en.usports.ca/sports/mbkb/2023-24p/boxscores/20240224_udjy.xml,0,0,1,0,2023-24p,2024-02-24,Brock,Ottawa,58,81,8 OUA Quarterfinals ,February 2024,Final,20240224_udjy,NA
https://en.usports.ca/sports/mbkb/2023-24p/boxscores/20240228_y5pq.xml,0,0,1,0,2023-24p,2024-02-28,Brock,Western,72,75,2 OUA Semifinal ,February 2024,Final,20240228_y5pq,NA
https://en.usports.ca/sports/mbkb/2023-24p/boxscores/20240302_sr1u.xml,0,0,1,0,2023-24p,2024-03-02,Brock,Queen's,79,76,6 OUA Wilson Cup Championship ,March 2024,Final,20240302_sr1u,NA
https://en.usports.ca/sports/mbkb/2023-24p/boxscores/20240222_7tdq.xml,0,0,1,0,2023-24p,2024-02-22,Alberta,Calgary,76,70,0 CW Tournament - Game 5 Quarter-final ,February 2024,Final,20240222_7tdq,NA
https://en.usports.ca/sports/mbkb/2023-24p/boxscores/20240224_pnj8.xml,0,1,1,0,2023-24p,2024-02-24,Winnipeg,Calgary,93,103,3 CW Tournament - Game 10 Semifinal (G5 vs G7) ,February 2024,Final - OT,20240224_pnj8,NA
https://en.usports.ca/sports/mbkb/2023-24p/boxscores/20240225_gdl8.xml,0,1,1,0,2023-24p,2024-02-25,UNBC,Calgary,80,94,0 CW Tournament - Bronze Medal Game ,February 2024,Final,20240225_gdl8,NA
https://en.usports.ca/sports/mbkb/2023-24p/boxscores/20240221_xnod.xml,0,0,1,0,2023-24p,2024-02-21,Brock,Carleton,69,70,9 OUA Round 1 ,February 2024,Final,20240221_xnod,NA
https://en.usports.ca/sports/mbkb/2023-24p/boxscores/20240228_1maz.xml,0,0,1,0,2023-24p,2024-02-28,Laval,Concordia,77,67,7 Demi-finale RSEQ Semifinal ,February 2024,Final,20240228_1maz,NA
https://en.usports.ca/sports/mbkb/2023-24p/boxscores/20240302_qnwo.xml,0,0,1,0,2023-24p,2024-03-02,UQAM,Concordia,57,63,7 Finale RSEQ Final Video ,March 2024,Final,20240302_qnwo,NA
