box_scores,exhibition,conference,costSeason,division,season,date,away,home,home_score,away_score,notes,month,status,game_id,data-recap
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241102_wbdn.xml,0,0,1,0,2024-25p,2024-11-02,Acadia,Bishop's,59,0, AUS Semifinal Video  More  ,2024-11-01,Final,20241102_wbdn,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241102_wbdn.xml,0,0,1,0,2024-25p,2024-11-02,Acadia,Bishop's,59,0, AUS Semifinal Video  More  ,2024-11-01,Final,20241102_wbdn,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241109_aai6.xml,0,0,1,0,2024-25p,2024-11-09,Saint Mary's,Bishop's,25,22,2 The Loney Bowl - AUS Final Video  More   Results Photos,2024-11-01,Final - 3OT,20241109_aai6,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241102_2qhh.xml,0,0,1,0,2024-25p,2024-11-02,Concordia,Laval,41,18,8 RSEQ Demifinal/Semifinal / TVA Sports Video ,2024-11-01,Final,20241102_2qhh,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241026_ix3s.xml,0,0,1,0,2024-25p,2024-10-26,Ottawa,Guelph,26,15,5 OUA Quarterfinal ,2024-10-01,Final,20241026_ix3s,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241102_ipbn.xml,0,0,1,0,2024-25p,2024-11-02,Guelph,Western,30,19,9 OUA Semifinal ,2024-11-01,Final,20241102_ipbn,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241102_ckfm.xml,0,0,1,0,2024-25p,2024-11-02,Queen's,Laurier,29,21,1 OUA Semifinal ,2024-11-01,Final,20241102_ckfm,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241109_bc52.xml,0,0,1,0,2024-25p,2024-11-09,Western,Laurier,51,31,1 OUA Final - 116th Yates Cup ,2024-11-01,Final,20241109_bc52,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241102_2qhh.xml,0,0,1,0,2024-25p,2024-11-02,Concordia,Laval,41,18,8 RSEQ Demifinal/Semifinal / TVA Sports Video ,2024-11-01,Final,20241102_2qhh,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241109_pn2u.xml,0,0,1,0,2024-25p,2024-11-09,Montreal,Laval,22,17,7 RSEQ Coupe Dunsmore Cup TVA Sports ,2024-11-01,Final,20241109_pn2u,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241102_udwl.xml,0,0,1,0,2024-25p,2024-11-02,Regina,Manitoba,25,28,5 CW Semifinal Video  ,2024-11-01,Final,20241102_udwl,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241102_09m9.xml,0,0,1,0,2024-25p,2024-11-02,McGill,Montreal,42,3, RSEQ Demifinal/Semifinal TVA Sports ,2024-11-01,Final,20241102_09m9,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241026_t6y6.xml,0,0,1,0,2024-25p,2024-10-26,McMaster,Western,46,10,0 OUA Quarterfinal ,2024-10-01,Final,20241026_t6y6,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241102_09m9.xml,0,0,1,0,2024-25p,2024-11-02,McGill,Montreal,42,3, RSEQ Demifinal/Semifinal TVA Sports ,2024-11-01,Final,20241102_09m9,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241109_pn2u.xml,0,0,1,0,2024-25p,2024-11-09,Montreal,Laval,22,17,7 RSEQ Coupe Dunsmore Cup TVA Sports ,2024-11-01,Final,20241109_pn2u,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241026_ix3s.xml,0,0,1,0,2024-25p,2024-10-26,Ottawa,Guelph,26,15,5 OUA Quarterfinal ,2024-10-01,Final,20241026_ix3s,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241026_8kep.xml,0,1,1,0,2024-25p,2024-10-26,Queen's,Windsor,19,22,9 OUA Quarterfinal ,2024-10-01,Final,20241026_8kep,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241102_ckfm.xml,0,0,1,0,2024-25p,2024-11-02,Queen's,Laurier,29,21,1 OUA Semifinal ,2024-11-01,Final,20241102_ckfm,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241102_udwl.xml,0,0,1,0,2024-25p,2024-11-02,Regina,Manitoba,25,28,5 CW Semifinal Video  ,2024-11-01,Final,20241102_udwl,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241109_yac3.xml,0,0,1,0,2024-25p,2024-11-09,Regina,Saskatchewan,14,19,4 CW Final - 87th Hardy Cup Video  ,2024-11-01,Final,20241109_yac3,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241102_rxhr.xml,0,0,1,0,2024-25p,2024-11-02,Saint Mary's,StFX,17,21,7 AUS Semifinal Video  More     Results Photos,2024-11-01,Final,20241102_rxhr,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241109_aai6.xml,0,0,1,0,2024-25p,2024-11-09,Saint Mary's,Bishop's,25,22,2 The Loney Bowl - AUS Final Video  More   Results Photos,2024-11-01,Final - 3OT,20241109_aai6,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241102_tjpf.xml,0,0,1,0,2024-25p,2024-11-02,Saskatchewan,UBC,33,38,3 CW Semifinal Video  More  ,2024-11-01,Final,20241102_tjpf,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241109_yac3.xml,0,0,1,0,2024-25p,2024-11-09,Regina,Saskatchewan,14,19,4 CW Final - 87th Hardy Cup Video  ,2024-11-01,Final,20241109_yac3,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241102_rxhr.xml,0,0,1,0,2024-25p,2024-11-02,Saint Mary's,StFX,17,21,7 AUS Semifinal Video  More     Results Photos,2024-11-01,Final,20241102_rxhr,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241102_tjpf.xml,0,0,1,0,2024-25p,2024-11-02,Saskatchewan,UBC,33,38,3 CW Semifinal Video  More  ,2024-11-01,Final,20241102_tjpf,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241026_t6y6.xml,0,0,1,0,2024-25p,2024-10-26,McMaster,Western,46,10,0 OUA Quarterfinal ,2024-10-01,Final,20241026_t6y6,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241102_ipbn.xml,0,0,1,0,2024-25p,2024-11-02,Guelph,Western,30,19,9 OUA Semifinal ,2024-11-01,Final,20241102_ipbn,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241109_bc52.xml,0,0,1,0,2024-25p,2024-11-09,Western,Laurier,51,31,1 OUA Final - 116th Yates Cup ,2024-11-01,Final,20241109_bc52,NA
https://en.usports.ca/sports/fball/2024-25p/boxscores/20241026_8kep.xml,0,1,1,0,2024-25p,2024-10-26,Queen's,Windsor,19,22,9 OUA Quarterfinal ,2024-10-01,Final,20241026_8kep,NA
https://en.usports.ca/sports/fball/2024-25c/boxscores/20241116_yk4c.xml,0,0,1,0,2024-25c,2024-11-16,Laurier,Bishop's,24,48,4 Uteck Bowl Video  More   ,2024-11-01,Final,20241116_yk4c,/sports/fball/2024-25c/releases/UTECK_BOWL
https://en.usports.ca/sports/fball/2024-25c/boxscores/20241116_yk4c.xml,0,0,1,0,2024-25c,2024-11-16,Laurier,Bishop's,24,48,4 Uteck Bowl Video  More   ,2024-11-01,Final,20241116_yk4c,/sports/fball/2024-25c/releases/UTECK_BOWL
https://en.usports.ca/sports/fball/2024-25c/boxscores/20241123_i8on.xml,0,0,1,0,2024-25c,2024-11-23,Laval,Laurier,17,22,7 2024 Coupe Vanier Cup Video  ,2024-11-01,Final,20241123_i8on,/sports/fball/2024-25c/releases
https://en.usports.ca/sports/fball/2024-25c/boxscores/20241116_6s6s.xml,0,1,1,0,2024-25c,2024-11-16,Laval,Regina,14,17,4 Coupe Mitchell Bowl Billets Diffusions More Video   ,2024-11-01,Final,20241116_6s6s,/sports/fball/2024-25c/releases/MITCHELL_BOWL
https://en.usports.ca/sports/fball/2024-25c/boxscores/20241123_i8on.xml,0,0,1,0,2024-25c,2024-11-23,Laurier,Laval,22,17,7 2024 Coupe Vanier Cup Video  ,2024-11-01,Final,20241123_i8on,/sports/fball/2024-25c/releases
https://en.usports.ca/sports/fball/2024-25c/boxscores/20241116_6s6s.xml,0,1,1,0,2024-25c,2024-11-16,Laval,Regina,14,17,4 Coupe Mitchell Bowl Billets Diffusions More Video   ,2024-11-01,Final,20241116_6s6s,/sports/fball/2024-25c/releases/MITCHELL_BOWL
https://en.usports.ca/sports/fball/2024-25/boxscores/20240817_f4az.xml,1,0,0,0,2024-25,2024-08-17,Saint Mary's,Acadia,17,53,7 (Pre-Season) Video  More Results Photos Photos,2024-08-01,Final,20240817_f4az,NA
https://en.usports.ca/sports/fball/2024-25/boxscores/20240824_5ccp.xml,0,1,0,0,2024-25,2024-08-24,Acadia,Mount Allison,15,14,4 Video  More  ,2024-08-01,Final,20240824_5ccp,NA
https://en.usports.ca/sports/fball/2024-25/boxscores/20240831_h4ny.xml,0,1,0,0,2024-25,2024-08-31,Saint Mary's,Acadia,33,41,3 Video  More   Photos,2024-08-01,Final - 3OT,20240831_h4ny,NA
https://en.usports.ca/sports/fball/2024-25/boxscores/20240907_wvb7.xml,0,1,0,0,2024-25,2024-09-07,Acadia,StFX,22,24,2 Video  More  ,2024-09-01,Final,20240907_wvb7,NA
https://en.usports.ca/sports/fball/2024-25/boxscores/20240914_z9zs.xml,0,1,0,0,2024-25,2024-09-14,Acadia,Bishop's,70,7, Video  ,2024-09-01,Final,20240914_z9zs,NA
https://en.usports.ca/sports/fball/2024-25/boxscores/20240928_cy2k.xml,0,1,0,0,2024-25,2024-09-28,Mount Allison,Acadia,31,17,7 Video  ,2024-09-01,Final,20240928_cy2k,NA
https://en.usports.ca/sports/fball/2024-25/boxscores/20241004_3w37.xml,0,1,0,0,2024-25,2024-10-04,Acadia,Saint Mary's,27,5, Video  More   Photos Photos,2024-10-01,Final,20241004_3w37,NA
https://en.usports.ca/sports/fball/2024-25/boxscores/20241011_76zq.xml,0,1,0,0,2024-25,2024-10-11,StFX,Acadia,0,46, Video  More  ,2024-10-01,Final,20241011_76zq,NA
https://en.usports.ca/sports/fball/2024-25/boxscores/20241019_0x0k.xml,0,1,0,0,2024-25,2024-10-19,Bishop's,Acadia,18,29,8 Video  ,2024-10-01,Final,20241019_0x0k,NA
NA,1,0,0,0,2024-25,NA,Alberta,Saskatchewan,42,16,6 Non-Conference,2024-08-01,Final,NA,NA
https://en.usports.ca/sports/fball/2024-25/boxscores/20240830_0l6t.xml,0,1,0,0,2024-25,2024-08-30,Alberta,UBC,28,42,8 Video ,2024-08-01,Final,20240830_0l6t,NA
https://en.usports.ca/sports/fball/2024-25/boxscores/20240906_91pn.xml,0,1,0,0,2024-25,2024-09-06,Calgary,Alberta,22,36,2 Video ,2024-09-01,Final,20240906_91pn,NA
https://en.usports.ca/sports/fball/2024-25/boxscores/20240914_spfc.xml,0,1,0,0,2024-25,2024-09-14,Alberta,Manitoba,24,23,3 Video ,2024-09-01,Final,20240914_spfc,NA
https://en.usports.ca/sports/fball/2024-25/boxscores/20240920_pn7y.xml,0,1,0,0,2024-25,2024-09-20,Regina,Alberta,30,6, Video Video More   ,2024-09-01,Final,20240920_pn7y,NA
https://en.usports.ca/sports/fball/2024-25/boxscores/20240927_7p01.xml,0,1,0,0,2024-25,2024-09-27,Alberta,Saskatchewan,33,30,0 Video Video More   ,2024-09-01,Final,20240927_7p01,NA
https://en.usports.ca/sports/fball/2024-25/boxscores/20241004_eg4x.xml,0,1,0,0,2024-25,2024-10-04,UBC,Alberta,25,35,5 Video Video More   ,2024-10-01,Final,20241004_eg4x,NA
https://en.usports.ca/sports/fball/2024-25/boxscores/20241019_ktuu.xml,0,1,0,0,2024-25,2024-10-19,Manitoba,Alberta,37,38,7 Video Video More  ,2024-10-01,Final - OT,20241019_ktuu,NA
https://en.usports.ca/sports/fball/2024-25/boxscores/20241025_jvjz.xml,0,1,0,0,2024-25,2024-10-25,Alberta,Regina,29,22,2 Leibel Field Video Video More   ,2024-10-01,Final,20241025_jvjz,NA
NA,1,0,0,0,2024-25,NA,Bishop's,Laval,25,3, Non-conference,2024-08-01,Final,NA,NA
