box_scores,exhibition,conference,costSeason,division,season,date,away,home,home_score,away_score,notes,month,status,game_id,data-recap
https://en.usports.ca/sports/fh/2024-25c/boxscores/20241031_c70z.xml,1,1,1,0,2024-25c,2024-10-31,UPEI,York,5,0," Round-robin, Game #2 ",October 2024,Final,20241031_c70z,NA
NA,1,1,1,0,2024-25c,NA,Victoria,UPEI,0,5," Round-robin, Game #3",November 2024,Final,NA,NA
https://en.usports.ca/sports/fh/2024-25c/boxscores/20241102_muts.xml,0,1,1,0,2024-25c,2024-11-02,UPEI,Waterloo,3,0, ,November 2024,Final,20241102_muts,NA
https://en.usports.ca/sports/fh/2024-25c/boxscores/20241103_j88n.xml,0,0,1,0,2024-25c,2024-11-03,UPEI,Waterloo,5,0, Bronze Medal / Médaille bronze ,November 2024,Final,20241103_j88n,NA
NA,1,1,1,0,2024-25c,NA,Waterloo,Victoria,2,0," Round-robin, Game #1",October 2024,Final,NA,NA
NA,1,1,1,0,2024-25c,NA,UPEI,Victoria,5,0," Round-robin, Game #3",November 2024,Final,NA,NA
NA,1,1,1,0,2024-25c,NA,Victoria,York,0,3," Round-robin, Game #5",November 2024,Final,NA,NA
https://en.usports.ca/sports/fh/2024-25c/boxscores/20241103_ndg9.xml,0,0,1,0,2024-25c,2024-11-03,Victoria,York,0,1, Championship / Championnat ,November 2024,Final,20241103_ndg9,NA
NA,1,1,1,0,2024-25c,NA,Victoria,Waterloo,0,2," Round-robin, Game #1",October 2024,Final,NA,NA
https://en.usports.ca/sports/fh/2024-25c/boxscores/20241101_oxi8.xml,0,1,1,0,2024-25c,2024-11-01,Waterloo,York,2,0, ,November 2024,Final,20241101_oxi8,NA
https://en.usports.ca/sports/fh/2024-25c/boxscores/20241102_muts.xml,0,1,1,0,2024-25c,2024-11-02,UPEI,Waterloo,3,0, ,November 2024,Final,20241102_muts,NA
https://en.usports.ca/sports/fh/2024-25c/boxscores/20241103_j88n.xml,0,0,1,0,2024-25c,2024-11-03,UPEI,Waterloo,5,0, Bronze Medal / Médaille bronze ,November 2024,Final,20241103_j88n,NA
https://en.usports.ca/sports/fh/2024-25c/boxscores/20241031_c70z.xml,1,1,1,0,2024-25c,2024-10-31,UPEI,York,5,0," Round-robin, Game #2 ",October 2024,Final,20241031_c70z,NA
https://en.usports.ca/sports/fh/2024-25c/boxscores/20241101_oxi8.xml,0,1,1,0,2024-25c,2024-11-01,Waterloo,York,2,0, ,November 2024,Final,20241101_oxi8,NA
NA,1,1,1,0,2024-25c,NA,Victoria,York,0,3," Round-robin, Game #5",November 2024,Final,NA,NA
https://en.usports.ca/sports/fh/2024-25c/boxscores/20241103_ndg9.xml,0,0,1,0,2024-25c,2024-11-03,Victoria,York,0,1, Championship / Championnat ,November 2024,Final,20241103_ndg9,NA
https://en.usports.ca/sports/fh/2023-24p/boxscores/20231018_dpqf.xml,0,0,1,0,2023-24p,2023-10-18,Western,Guelph,2,0, Round 1 ,October 2023,Final,20231018_dpqf,NA
https://en.usports.ca/sports/fh/2023-24p/boxscores/20231021_dzml.xml,0,0,1,0,2023-24p,2023-10-21,Guelph,York,3,1, Semifinal ,October 2023,Final,20231021_dzml,NA
https://en.usports.ca/sports/fh/2023-24p/boxscores/20231021_0sv6.xml,0,0,1,0,2023-24p,2023-10-21,Toronto,Waterloo,0,1, Semifinal ,October 2023,Final - 2OT,20231021_0sv6,NA
NA,0,0,1,0,2023-24p,NA,Toronto,York,0,0, OUA Championship - Toronto wins 4-1 on penalty strokes,October 2023,Final - PS Away,NA,NA
https://en.usports.ca/sports/fh/2023-24p/boxscores/20231021_0sv6.xml,0,0,1,0,2023-24p,2023-10-21,Toronto,Waterloo,0,1, Semifinal ,October 2023,Final - 2OT,20231021_0sv6,NA
https://en.usports.ca/sports/fh/2023-24p/boxscores/20231018_dpqf.xml,0,0,1,0,2023-24p,2023-10-18,Western,Guelph,2,0, Round 1 ,October 2023,Final,20231018_dpqf,NA
https://en.usports.ca/sports/fh/2023-24p/boxscores/20231021_dzml.xml,0,0,1,0,2023-24p,2023-10-21,Guelph,York,3,1, Semifinal ,October 2023,Final,20231021_dzml,NA
NA,0,0,1,0,2023-24p,NA,Toronto,York,0,0, OUA Championship - Toronto wins 4-1 on penalty strokes,October 2023,Final - PS Away,NA,NA
https://en.usports.ca/sports/fh/2023-24c/boxscores/20231103_yg80.xml,0,0,1,0,2023-24c,2023-11-03,Victoria,Toronto,1,1, U SPORTS Championship (Game 1) - Toronto wins shootout 3-2 - Toronto leads series 1-0   ,November 2023,Final - PS Home,20231103_yg80,/sports/fh/2023-24c/releases/20231103wls44j
https://en.usports.ca/sports/fh/2023-24c/boxscores/20231104_e9fj.xml,0,0,1,0,2023-24c,2023-11-04,Victoria,Toronto,0,1, U SPORTS Championship (Game 2)   ,November 2023,Final,20231104_e9fj,/sports/fh/2023-24c/releases/20240401vhaasq
https://en.usports.ca/sports/fh/2023-24c/boxscores/20231105_ysnq.xml,0,0,1,0,2023-24c,2023-11-05,Victoria,Toronto,0,3," U SPORTS Championship (Game 3, if necessary)   ",November 2023,Final,20231105_ysnq,/sports/fh/2023-24c/releases/20240216ksrs23
https://en.usports.ca/sports/fh/2023-24c/boxscores/20231103_yg80.xml,0,0,1,0,2023-24c,2023-11-03,Victoria,Toronto,1,1, U SPORTS Championship (Game 1) - Toronto wins shootout 3-2 - Toronto leads series 1-0   ,November 2023,Final - PS Home,20231103_yg80,/sports/fh/2023-24c/releases/20231103wls44j
https://en.usports.ca/sports/fh/2023-24c/boxscores/20231104_e9fj.xml,0,0,1,0,2023-24c,2023-11-04,Victoria,Toronto,0,1, U SPORTS Championship (Game 2)   ,November 2023,Final,20231104_e9fj,/sports/fh/2023-24c/releases/20240401vhaasq
https://en.usports.ca/sports/fh/2023-24c/boxscores/20231105_ysnq.xml,0,0,1,0,2023-24c,2023-11-05,Victoria,Toronto,0,3," U SPORTS Championship (Game 3, if necessary)   ",November 2023,Final,20231105_ysnq,/sports/fh/2023-24c/releases/20240216ksrs23
https://en.usports.ca/sports/fh/2023-24/boxscores/20230909_4b3b.xml,0,1,0,0,2023-24,2023-09-09,UBC,Calgary,3,0, Game forfeited by UBC due to the use of an ineligible player. Score was 0-0 (4-3) UBC. ,September 2023,Final - Forfeit Away,20230909_4b3b,NA
https://en.usports.ca/sports/fh/2023-24/boxscores/20230910_jc3m.xml,0,1,0,0,2023-24,2023-09-10,UBC,Calgary,3,0, Game forfeited by UBC due to the use of an ineligible player. Score was 1-0 UBC. ,September 2023,Final - Forfeit Away,20230910_jc3m,NA
