box_scores,exhibition,conference,costSeason,division,season,date,away,home,home_score,away_score,notes,month,status,game_id,data-recap
https://en.usports.ca/sports/msoc/2024-25p/boxscores/20241025_flnw.xml,0,0,1,0,2024-25p,2024-10-25,Trinity Western,Alberta,3,0, CW Quarter-finals (Game 4) ,October 2024,Final,20241025_flnw,NA
https://en.usports.ca/sports/msoc/2024-25p/boxscores/20241027_yl8v.xml,0,0,1,0,2024-25p,2024-10-27,Mount Royal,Alberta,0,1, CW Semifinals (Game 6) ,October 2024,Final,20241027_yl8v,NA
https://en.usports.ca/sports/msoc/2024-25p/boxscores/20241019_yd4s.xml,0,0,1,0,2024-25p,2024-10-19,Brock,Western,2,1, Round 1 ,October 2024,Final,20241019_yd4s,NA
https://en.usports.ca/sports/msoc/2024-25p/boxscores/20241025_jlan.xml,0,0,1,0,2024-25p,2024-10-25,UFV,Calgary,0,0, CW Quarter-finals (Game 1) - UFV advances 5-3 on penalty kicks ,October 2024,Final - PK Away,20241025_jlan,NA
https://en.usports.ca/sports/msoc/2024-25p/boxscores/20241024_y536.xml,0,0,1,0,2024-25p,2024-10-24,Dalhousie,Cape Breton,2,0, AUS Quarterfinal Video  More  ,October 2024,Final,20241024_y536,NA
https://en.usports.ca/sports/msoc/2024-25p/boxscores/20241025_htho.xml,0,0,1,0,2024-25p,2024-10-25,StFX,Cape Breton,1,4, AUS Semifinal Video  More   ,October 2024,Final,20241025_htho,NA
https://en.usports.ca/sports/msoc/2024-25p/boxscores/20241019_v8n1.xml,0,0,1,0,2024-25p,2024-10-19,Laurentian,Carleton,4,1, Round 1  ,October 2024,Final,20241019_v8n1,NA
https://en.usports.ca/sports/msoc/2024-25p/boxscores/20241023_xvba.xml,0,0,1,0,2024-25p,2024-10-23,Carleton,Toronto Metropolitan,2,1, OUA Quarterfinal ,October 2024,Final - 2OT,20241023_xvba,NA
https://en.usports.ca/sports/msoc/2024-25p/boxscores/20241025_et2t.xml,0,0,1,0,2024-25p,2024-10-25,Concordia,Montreal,3,1, RSEQ Demi-finale SM01 ,October 2024,Final,20241025_et2t,NA
https://en.usports.ca/sports/msoc/2024-25p/boxscores/20241024_y536.xml,0,0,1,0,2024-25p,2024-10-24,Cape Breton,Dalhousie,0,2, AUS Quarterfinal Video  More  ,October 2024,Final,20241024_y536,NA
