box_scores,exhibition,conference,costSeason,division,season,date,away,home,home_score,away_score,notes,month,status,game_id,data-recap
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241018_4izx.xml,0,1,0,0,2024-25,2024-10-18,Alberta,UFV,1,3, ,October 2024,Final,20241018_4izx,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241019_rvsw.xml,0,1,0,0,2024-25,2024-10-19,Alberta,UFV,0,3, ,October 2024,Final,20241019_rvsw,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241101_e1gs.xml,0,1,0,0,2024-25,2024-11-01,Manitoba,Alberta,3,0, ,November 2024,Final,20241101_e1gs,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241102_n0xp.xml,0,1,0,0,2024-25,2024-11-02,Manitoba,Alberta,3,1, ,November 2024,Final,20241102_n0xp,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241108_yopk.xml,0,1,0,0,2024-25,2024-11-08,Alberta,MacEwan,0,3,  ,November 2024,Final,20241108_yopk,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241109_k099.xml,0,1,0,0,2024-25,2024-11-09,Alberta,MacEwan,1,3,  ,November 2024,Final,20241109_k099,NA
NA,0,1,0,0,2024-25,NA,Saskatchewan,Alberta,3,0,NA,November 2024,Final,NA,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241116_zshe.xml,0,1,0,0,2024-25,2024-11-16,Saskatchewan,Alberta,3,1, ,November 2024,Final,20241116_zshe,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241122_2if9.xml,0,1,0,0,2024-25,2024-11-22,Calgary,Alberta,3,1, ,November 2024,Final,20241122_2if9,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241123_1jj7.xml,0,1,0,0,2024-25,2024-11-23,Calgary,Alberta,3,0, ,November 2024,Final,20241123_1jj7,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241129_g2vk.xml,0,1,0,0,2024-25,2024-11-29,Alberta,Brandon,3,1, ,November 2024,Final,20241129_g2vk,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241130_elup.xml,0,1,0,0,2024-25,2024-11-30,Alberta,Brandon,0,3, ,November 2024,Final,20241130_elup,NA
NA,0,1,0,0,2024-25,NA,Alberta,Trinity Western,NA,NA,NA,NA 2025,7:00 PM PST,NA,NA
NA,0,1,0,0,2024-25,NA,Alberta,Trinity Western,NA,NA,NA,January 2025,6:00 PM PST,NA,NA
NA,0,1,0,0,2024-25,NA,Thompson Rivers,Alberta,NA,NA,NA,January 2025,6:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,Thompson Rivers,Alberta,NA,NA,NA,January 2025,5:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,UBC,Alberta,NA,NA,NA,February 2025,6:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,UBC,Alberta,NA,NA,NA,February 2025,5:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,Alberta,Mount Royal,NA,NA,NA,February 2025,6:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,Alberta,Mount Royal,NA,NA,NA,February 2025,7:00 PM MST,NA,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241025_k4aj.xml,0,1,0,0,2024-25,2024-10-25,Brandon,Trinity Western,1,3, ,October 2024,Final,20241025_k4aj,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241026_va1g.xml,0,1,0,0,2024-25,2024-10-26,Brandon,Trinity Western,3,2, ,October 2024,Final - OT,20241026_va1g,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241031_n7bk.xml,0,1,0,0,2024-25,2024-10-31,Brandon,UBC,3,1, ,October 2024,Final,20241031_n7bk,NA
NA,0,1,0,0,2024-25,NA,Brandon,UBC,3,1,NA,November 2024,Final,NA,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241108_pgdi.xml,0,1,0,0,2024-25,2024-11-08,Saskatchewan,Brandon,3,2, ,November 2024,Final - OT,20241108_pgdi,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241109_jltr.xml,0,1,0,0,2024-25,2024-11-09,Saskatchewan,Brandon,1,3, ,November 2024,Final,20241109_jltr,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241115_4gh9.xml,0,1,0,0,2024-25,2024-11-15,Brandon,Manitoba,3,0, ,November 2024,Final,20241115_4gh9,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241116_7dcr.xml,0,1,0,0,2024-25,2024-11-16,Brandon,Manitoba,0,3, ,November 2024,Final,20241116_7dcr,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241129_g2vk.xml,0,1,0,0,2024-25,2024-11-29,Alberta,Brandon,3,1, ,November 2024,Final,20241129_g2vk,NA
https://en.usports.ca/sports/mvball/2024-25/boxscores/20241130_elup.xml,0,1,0,0,2024-25,2024-11-30,Alberta,Brandon,0,3, ,November 2024,Final,20241130_elup,NA
NA,0,1,0,0,2024-25,NA,Brandon,Mount Royal,NA,NA,NA,NA 2025,1:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,Brandon,Mount Royal,NA,NA,NA,January 2025,6:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,UFV,Brandon,NA,NA,NA,January 2025,6:00 PM CST,NA,NA
NA,0,1,0,0,2024-25,NA,UFV,Brandon,NA,NA,NA,January 2025,5:00 PM CST,NA,NA
NA,0,1,0,0,2024-25,NA,Calgary,Brandon,NA,NA,NA,January 2025,6:00 PM CST,NA,NA
NA,0,1,0,0,2024-25,NA,Calgary,Brandon,NA,NA,NA,February 2025,5:00 PM CST,NA,NA
NA,0,1,0,0,2024-25,NA,Winnipeg,Brandon,NA,NA,NA,February 2025,6:00 PM CST,NA,NA
