box_scores,exhibition,conference,costSeason,division,season,date,away,home,home_score,away_score,notes,month,status,game_id,data-recap
NA,1,0,0,0,2024-25,NA,Carleton,Acadia,66,73,6 (Exhibition),September 2024,Final,NA,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20240928_0y5i.xml,1,0,0,0,2024-25,2024-09-28,Laval,Acadia,63,65,3 (Exhibition) ,September 2024,Final,20240928_0y5i,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241004_knah.xml,1,0,0,0,2024-25,2024-10-04,Waterloo,Acadia,57,62,7 (Exhibition) Video ,October 2024,Final,20241004_knah,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241005_lkqq.xml,1,0,0,0,2024-25,2024-10-05,Regina,Acadia,62,64,2 (Exhibition) Video ,October 2024,Final,20241005_lkqq,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241018_825v.xml,1,0,0,0,2024-25,2024-10-18,Western,Acadia,64,59,9 (Exhibition) ,October 2024,Final,20241018_825v,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241019_1gh0.xml,1,0,0,0,2024-25,2024-10-19,Saskatchewan,Acadia,57,93,7 ,October 2024,Final,20241019_1gh0,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241020_ye95.xml,1,0,0,0,2024-25,2024-10-20,Laurier,Acadia,35,67,5 ,October 2024,Final,20241020_ye95,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241030_ubrb.xml,0,1,0,0,2024-25,2024-10-30,Acadia,Saint Mary's,69,58,8   More  Results Photos,October 2024,Final,20241030_ubrb,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241102_tl1r.xml,0,1,0,0,2024-25,2024-11-02,Saint Mary's,Acadia,65,73,5   More   Results Photos,November 2024,Final,20241102_tl1r,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241108_i1zc.xml,0,1,0,0,2024-25,2024-11-08,Acadia,UPEI,94,90,0   More  Photos,November 2024,Final - 2OT,20241108_i1zc,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241109_ahnl.xml,0,1,0,0,2024-25,2024-11-09,Acadia,UPEI,56,67,6   More  Photos,November 2024,Final,20241109_ahnl,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241115_vmkp.xml,0,1,0,0,2024-25,2024-11-15,Acadia,Memorial,65,70,5  ,November 2024,Final,20241115_vmkp,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241116_21ng.xml,0,1,0,0,2024-25,2024-11-16,Acadia,Memorial,60,67,0  ,November 2024,Final,20241116_21ng,NA
https://en.usports.ca/sports/wbkb/2024-25/boxscores/20241122_rznr.xml,0,1,0,0,2024-25,2024-11-22,UNB,Acadia,82,76,6   ,November 2024,Final,20241122_rznr,NA
