box_scores,exhibition,conference,costSeason,division,season,date,away,home,home_score,away_score,notes,month,status,game_id,data-recap
NA,1,0,1,0,2024-25c,NA,TBD,Waterloo,NA,NA,NA,NA 2025,7:00 PM EDT,NA,NA
NA,1,0,0,0,2024-25,NA,Mount Royal,Alberta,3,2,NA,September 2024,Final,NA,NA
NA,1,0,0,0,2024-25,NA,Alberta,Mount Royal,2,0,NA,September 2024,Final,NA,NA
NA,1,0,0,0,2024-25,NA,Alberta,MacEwan,1,3,NA,September 2024,Final,NA,NA
NA,1,0,0,0,2024-25,NA,Calgary,Alberta,2,3, Non-Conference,September 2024,Final,NA,NA
NA,1,0,0,0,2024-25,NA,Alberta,Calgary,0,2, Non-Conference,September 2024,Final,NA,NA
NA,0,1,0,0,2024-25,NA,MacEwan,Alberta,4,0, ,October 2024,Final,NA,NA
https://en.usports.ca/sports/wice/2024-25/boxscores/20241005_tw3l.xml,0,1,0,0,2024-25,2024-10-05,Alberta,MacEwan,0,3,  ,October 2024,Final,20241005_tw3l,NA
https://en.usports.ca/sports/wice/2024-25/boxscores/20241012_2u8g.xml,0,1,0,0,2024-25,2024-10-12,Alberta,Manitoba,0,1, ,October 2024,Final,20241012_2u8g,NA
https://en.usports.ca/sports/wice/2024-25/boxscores/20241013_2crt.xml,0,1,0,0,2024-25,2024-10-13,Alberta,Manitoba,4,2, ,October 2024,Final,20241013_2crt,NA
NA,0,1,0,0,2024-25,NA,Alberta,Saskatchewan,1,2,NA,October 2024,Final,NA,NA
NA,0,1,0,0,2024-25,NA,Alberta,Saskatchewan,3,4,NA,October 2024,Final Shootout - Away,NA,NA
https://en.usports.ca/sports/wice/2024-25/boxscores/20241025_oxv9.xml,0,1,0,0,2024-25,2024-10-25,UBC,Alberta,0,3, ,October 2024,Final,20241025_oxv9,NA
https://en.usports.ca/sports/wice/2024-25/boxscores/20241026_dsjo.xml,0,1,0,0,2024-25,2024-10-26,UBC,Alberta,1,2, ,October 2024,Final,20241026_dsjo,NA
https://en.usports.ca/sports/wice/2024-25/boxscores/20241108_osxq.xml,0,1,0,0,2024-25,2024-11-08,Alberta,MacEwan,1,4,  ,November 2024,Final,20241108_osxq,NA
https://en.usports.ca/sports/wice/2024-25/boxscores/20241109_foqx.xml,0,1,0,0,2024-25,2024-11-09,MacEwan,Alberta,1,0,  ,November 2024,Final - OT,20241109_foqx,NA
https://en.usports.ca/sports/wice/2024-25/boxscores/20241115_nwlk.xml,0,1,0,0,2024-25,2024-11-15,Regina,Alberta,5,0, ,November 2024,Final,20241115_nwlk,NA
https://en.usports.ca/sports/wice/2024-25/boxscores/20241116_l6za.xml,0,1,0,0,2024-25,2024-11-16,Regina,Alberta,2,1, ,November 2024,Final - OT,20241116_l6za,NA
https://en.usports.ca/sports/wice/2024-25/boxscores/20241122_zz8j.xml,0,1,0,0,2024-25,2024-11-22,Alberta,Saskatchewan,0,3, ,November 2024,Final,20241122_zz8j,NA
