box_scores,exhibition,conference,costSeason,division,season,date,away,home,home_score,away_score,notes,month,status,game_id,data-recap
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241024_x5rs.xml,0,0,1,0,2024-25p,2024-10-24,StFX,Acadia,1,3, AUS Quarterfinal   More  ,October 2024,Final - 2OT,20241024_x5rs,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241026_o31v.xml,0,0,1,0,2024-25p,2024-10-26,Alberta,UBC,7,0, CW Quarter-finals ,October 2024,Final,20241026_o31v,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241025_rzdx.xml,0,0,1,0,2024-25p,2024-10-25,UBC Okanagan,Calgary,1,0, CW Quarter-finals ,October 2024,Final,20241025_rzdx,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241101_up1t.xml,0,0,1,0,2024-25p,2024-11-01,Victoria,Calgary,0,1, CW Semifinal ,November 2024,Final,20241101_up1t,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241102_z24l.xml,0,0,1,0,2024-25p,2024-11-02,Trinity Western,Calgary,2,3, Bronze Medal Game ,November 2024,Final,20241102_z24l,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241025_kzy3.xml,0,0,1,0,2024-25p,2024-10-25,Memorial,Cape Breton,4,0, AUS Semifinal  ,October 2024,Final,20241025_kzy3,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241027_rgf9.xml,0,0,1,0,2024-25p,2024-10-27,UNB,Cape Breton,2,0, AUS Final Video  More   Photos,October 2024,Final,20241027_rgf9,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241020_xzz8.xml,0,0,1,0,2024-25p,2024-10-20,Carleton,Queen's,2,0, Round 1 (Continuation from 10/18) ,October 2024,Final,20241020_xzz8,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241024_v1j8.xml,0,0,1,0,2024-25p,2024-10-24,Dalhousie,Memorial,1,0, AUS Quarterfinal   ,October 2024,Final,20241024_v1j8,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241023_dxsr.xml,0,0,1,0,2024-25p,2024-10-23,McMaster,Guelph,1,0, OUA Quarterfinal ,October 2024,Final,20241023_dxsr,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241026_uycj.xml,0,0,1,0,2024-25p,2024-10-26,Guelph,Ottawa,1,1, OUA Semifinal - Ottawa advances 3-1 on penalties Video ,October 2024,Final - PK Home,20241026_uycj,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241018_ko4t.xml,0,0,1,0,2024-25p,2024-10-18,Laurier,McMaster,2,1, Round 1 ,October 2024,Final - 2OT,20241018_ko4t,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241024_d9gs.xml,0,0,1,0,2024-25p,2024-10-24,Laval,McGill,0,1, (RSEQ SEMIFINAL) ,October 2024,Final,20241024_d9gs,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241101_2esx.xml,0,0,1,0,2024-25p,2024-11-01,Laval,Montreal,1,1, RSEQ Finale SM03 - Laval remporte 5-4 sur tirs au but Video ,November 2024,Final - PK Away,20241101_2esx,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241025_k65s.xml,0,0,1,0,2024-25p,2024-10-25,Trinity Western,MacEwan,1,2, CW Quarter-finals  ,October 2024,Final,20241025_k65s,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241024_d9gs.xml,0,0,1,0,2024-25p,2024-10-24,Laval,McGill,0,1, (RSEQ SEMIFINAL) ,October 2024,Final,20241024_d9gs,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241018_ko4t.xml,0,0,1,0,2024-25p,2024-10-18,Laurier,McMaster,2,1, Round 1 ,October 2024,Final - 2OT,20241018_ko4t,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241023_dxsr.xml,0,0,1,0,2024-25p,2024-10-23,McMaster,Guelph,1,0, OUA Quarterfinal ,October 2024,Final,20241023_dxsr,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241024_v1j8.xml,0,0,1,0,2024-25p,2024-10-24,Dalhousie,Memorial,1,0, AUS Quarterfinal   ,October 2024,Final,20241024_v1j8,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241025_kzy3.xml,0,0,1,0,2024-25p,2024-10-25,Memorial,Cape Breton,4,0, AUS Semifinal  ,October 2024,Final,20241025_kzy3,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241025_5weu.xml,0,0,1,0,2024-25p,2024-10-25,Sherbrooke,Montreal,3,1, RSEQ Demi-finale SF01 ,October 2024,Final,20241025_5weu,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241101_2esx.xml,0,0,1,0,2024-25p,2024-11-01,Laval,Montreal,1,1, RSEQ Finale SM03 - Laval remporte 5-4 sur tirs au but Video ,November 2024,Final - PK Away,20241101_2esx,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241023_mgax.xml,0,0,1,0,2024-25p,2024-10-23,Queen's,Nipissing,6,4, OUA Quarterfinal ,October 2024,Final - 2OT,20241023_mgax,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241027_33ok.xml,0,0,1,0,2024-25p,2024-10-27,York,Nipissing,2,1, OUA Semifinal ,October 2024,Final,20241027_33ok,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241102_wsc7.xml,0,0,1,0,2024-25p,2024-11-02,Nipissing,Ottawa,4,2, OUA Final / Finale des SUO ,November 2024,Final,20241102_wsc7,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241023_sy5j.xml,0,0,1,0,2024-25p,2024-10-23,Toronto,Ottawa,2,1, OUA Quarterfinal ,October 2024,Final,20241023_sy5j,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241026_uycj.xml,0,0,1,0,2024-25p,2024-10-26,Guelph,Ottawa,1,1, OUA Semifinal - Ottawa advances 3-1 on penalties Video ,October 2024,Final - PK Home,20241026_uycj,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241102_wsc7.xml,0,0,1,0,2024-25p,2024-11-02,Nipissing,Ottawa,4,2, OUA Final / Finale des SUO ,November 2024,Final,20241102_wsc7,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241020_xzz8.xml,0,0,1,0,2024-25p,2024-10-20,Carleton,Queen's,2,0, Round 1 (Continuation from 10/18) ,October 2024,Final,20241020_xzz8,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241023_mgax.xml,0,0,1,0,2024-25p,2024-10-23,Queen's,Nipissing,6,4, OUA Quarterfinal ,October 2024,Final - 2OT,20241023_mgax,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241026_7fb5.xml,0,0,1,0,2024-25p,2024-10-26,Saskatchewan,Victoria,1,0, CW Quarter-finals ,October 2024,Final,20241026_7fb5,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241025_5weu.xml,0,0,1,0,2024-25p,2024-10-25,Sherbrooke,Montreal,3,1, RSEQ Demi-finale SF01 ,October 2024,Final,20241025_5weu,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241024_x5rs.xml,0,0,1,0,2024-25p,2024-10-24,StFX,Acadia,1,3, AUS Quarterfinal   More  ,October 2024,Final - 2OT,20241024_x5rs,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241025_1ueq.xml,0,0,1,0,2024-25p,2024-10-25,StFX,UNB,1,1, AUS Semifinal   More  ,October 2024,Final - PK Home,20241025_1ueq,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241019_rxbz.xml,0,0,1,0,2024-25p,2024-10-19,Toronto,Toronto Metropolitan,0,1, Round 1 ,October 2024,Final,20241019_rxbz,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241023_sy5j.xml,0,0,1,0,2024-25p,2024-10-23,Toronto,Ottawa,2,1, OUA Quarterfinal ,October 2024,Final,20241023_sy5j,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241019_rxbz.xml,0,0,1,0,2024-25p,2024-10-19,Toronto,Toronto Metropolitan,0,1, Round 1 ,October 2024,Final,20241019_rxbz,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241025_k65s.xml,0,0,1,0,2024-25p,2024-10-25,Trinity Western,MacEwan,1,2, CW Quarter-finals  ,October 2024,Final,20241025_k65s,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241101_co2o.xml,0,0,1,0,2024-25p,2024-11-01,UBC,Trinity Western,0,1, CW Semifinal ,November 2024,Final,20241101_co2o,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241102_z24l.xml,0,0,1,0,2024-25p,2024-11-02,Trinity Western,Calgary,2,3, Bronze Medal Game ,November 2024,Final,20241102_z24l,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241026_o31v.xml,0,0,1,0,2024-25p,2024-10-26,Alberta,UBC,7,0, CW Quarter-finals ,October 2024,Final,20241026_o31v,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241101_co2o.xml,0,0,1,0,2024-25p,2024-11-01,Trinity Western,UBC,1,0, CW Semifinal ,November 2024,Final,20241101_co2o,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241102_5y7n.xml,0,0,1,0,2024-25p,2024-11-02,Victoria,UBC,3,0, CW Championship Game ,November 2024,Final,20241102_5y7n,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241025_rzdx.xml,0,0,1,0,2024-25p,2024-10-25,UBC Okanagan,Calgary,1,0, CW Quarter-finals ,October 2024,Final,20241025_rzdx,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241025_1ueq.xml,0,0,1,0,2024-25p,2024-10-25,StFX,UNB,1,1, AUS Semifinal   More  ,October 2024,Final - PK Home,20241025_1ueq,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241027_rgf9.xml,0,0,1,0,2024-25p,2024-10-27,Cape Breton,UNB,0,2, AUS Final Video  More   Photos,October 2024,Final,20241027_rgf9,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241026_7fb5.xml,0,0,1,0,2024-25p,2024-10-26,Saskatchewan,Victoria,1,0, CW Quarter-finals ,October 2024,Final,20241026_7fb5,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241101_up1t.xml,0,0,1,0,2024-25p,2024-11-01,Victoria,Calgary,0,1, CW Semifinal ,November 2024,Final,20241101_up1t,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241102_5y7n.xml,0,0,1,0,2024-25p,2024-11-02,UBC,Victoria,0,3, CW Championship Game ,November 2024,Final,20241102_5y7n,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241023_hvwl.xml,0,0,1,0,2024-25p,2024-10-23,York,Western,0,1, OUA Quarterfinal ,October 2024,Final - 2OT,20241023_hvwl,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241019_lqsf.xml,0,0,1,0,2024-25p,2024-10-19,Windsor,York,1,0, Round 1 ,October 2024,Final,20241019_lqsf,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241019_lqsf.xml,0,0,1,0,2024-25p,2024-10-19,Windsor,York,1,0, Round 1 ,October 2024,Final,20241019_lqsf,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241023_hvwl.xml,0,0,1,0,2024-25p,2024-10-23,York,Western,0,1, OUA Quarterfinal ,October 2024,Final - 2OT,20241023_hvwl,NA
https://en.usports.ca/sports/wsoc/2024-25p/boxscores/20241027_33ok.xml,0,0,1,0,2024-25p,2024-10-27,York,Nipissing,2,1, OUA Semifinal ,October 2024,Final,20241027_33ok,NA
