box_scores,exhibition,conference,costSeason,division,season,date,away,home,home_score,away_score,notes,month,status,game_id,data-recap
https://en.usports.ca/sports/wvball/2024-25/boxscores/20240928_8ene.xml,1,0,0,0,2024-25,2024-09-28,UNB,Acadia,3,2, Non-Conference ,September 2024,Final,20240928_8ene,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241004_fkli.xml,1,0,0,0,2024-25,2024-10-04,Acadia,Queen's,3,0, (Preseason) ,October 2024,Final,20241004_fkli,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241005_c6dw.xml,1,0,0,0,2024-25,2024-10-05,RMC,Acadia,3,1, (Preseason) ,October 2024,Final,20241005_c6dw,NA
NA,1,0,0,0,2024-25,NA,McGill,Acadia,0,0, (Preseason; Game suspended in fist set & not resumed),October 2024,Cancelled,NA,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241025_hiu6.xml,0,1,0,0,2024-25,2024-10-25,Saint Mary's,Acadia,3,2,   More  Results Photos,October 2024,Final,20241025_hiu6,NA
NA,0,1,0,0,2024-25,NA,Acadia,Saint Mary's,1,3,   More Photos Photos,October 2024,Final,NA,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241101_fmac.xml,0,1,0,0,2024-25,2024-11-01,Memorial,Acadia,3,2,  ,November 2024,Final,20241101_fmac,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241102_yu0n.xml,0,1,0,0,2024-25,2024-11-02,Memorial,Acadia,2,3,  ,November 2024,Final,20241102_yu0n,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241108_j0p6.xml,0,1,0,0,2024-25,2024-11-08,Acadia,UNB,3,0,   ,November 2024,Final,20241108_j0p6,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241109_iwkf.xml,0,1,0,0,2024-25,2024-11-09,Acadia,UNB,3,1,   ,November 2024,Final,20241109_iwkf,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241115_xwuj.xml,0,1,0,0,2024-25,2024-11-15,Dalhousie,Acadia,2,3,   ,November 2024,Final,20241115_xwuj,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241123_etbs.xml,0,1,0,0,2024-25,2024-11-23,Acadia,Dalhousie,2,3,   ,November 2024,Final,20241123_etbs,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241129_ji6a.xml,0,1,0,0,2024-25,2024-11-29,Acadia,Moncton,1,3,  ,November 2024,Final,20241129_ji6a,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241130_xb1z.xml,0,1,0,0,2024-25,2024-11-30,Acadia,Moncton,0,3,  ,November 2024,Final,20241130_xb1z,NA
NA,0,1,0,0,2024-25,NA,Acadia,Dalhousie,NA,NA,NA,NA 2025,2:00 PM AST,NA,NA
NA,0,1,0,0,2024-25,NA,Dalhousie,Acadia,NA,NA,NA,January 2025,2:00 PM AST,NA,NA
NA,0,1,0,0,2024-25,NA,UNB,Acadia,NA,NA,NA,January 2025,7:00 PM AST,NA,NA
NA,0,1,0,0,2024-25,NA,UNB,Acadia,NA,NA,NA,January 2025,2:00 PM AST,NA,NA
